661)	2.00182
662)	2.02884
663)	1.99428
664)	2.03073
665)	2.0301
666)	1.99805
667)	1.96538
668)	2.00748
669)	2.03324
670)	2.00685
671)	2.00622
672)	1.99365
673)	2.02444
674)	2.00936
675)	1.98737
676)	2.03889
677)	1.97041
678)	2.0169
679)	1.99868
680)	2.01816
681)	2.01062
682)	1.99805
683)	1.97104
684)	1.98423
685)	2.02381
686)	1.97104
687)	1.9547
688)	1.96978
689)	2.0169
690)	2.00685
691)	1.97983
692)	1.97292
693)	2.02633
694)	2.00182
695)	1.97292
696)	1.99303
697)	2.02067
698)	1.99931
699)	2.01313
700)	1.98926
701)	1.97669
702)	2.01942
703)	2.00496
704)	2.01627
705)	1.9792
706)	2.01942
707)	1.97481
708)	2.01753
709)	2.00622
710)	2.01879
711)	2.01188
712)	1.99428
713)	2.00685
714)	1.93208
715)	2.00622
716)	2.00559
717)	2.00936
718)	1.97292
719)	1.97795
720)	1.99994
721)	2.02884
722)	2.05649
723)	1.98611
724)	2.02947
725)	2.01816
726)	2.01313
727)	2.0213
728)	1.98988
729)	2.02633
730)	1.97418
731)	2.03073
732)	1.99554
733)	1.98926
734)	2.00057
735)	1.99177
736)	1.98172
737)	1.99931
738)	1.97795
739)	2.00245
740)	1.96475
741)	1.96789
742)	1.97795
743)	1.9591
744)	2.00999
745)	2.00434
746)	1.99114
747)	1.97481
748)	1.97041
749)	2.03198
750)	2.00434
751)	1.99868
752)	1.988
753)	2.01879
754)	1.94904
755)	2.02193
756)	2.00999
757)	2.02381
758)	2.00308
759)	2.01062
760)	2.01125
761)	2.03261
762)	1.97292
763)	1.98046
764)	1.96601
765)	1.99931
766)	2.03324
767)	2.02821
768)	2.02256
769)	1.99742
770)	2.04958
771)	2.04015
772)	2.01439
773)	2.0125
774)	1.99994
775)	2.02821
776)	2.00119
777)	1.95721
778)	1.98674
779)	1.98549
780)	1.99931
781)	1.96915
782)	2.01879
783)	2.00371
784)	2.02319
785)	1.97795
786)	1.96287
787)	2.02696
788)	2.01502
789)	1.96852
790)	2.00182
791)	1.96852
792)	1.98737
793)	2.02696
794)	2.01753
795)	1.96789
796)	2.07282
797)	1.97292
798)	2.0213
799)	1.98737
800)	1.98926
801)	1.99303
802)	2.0125
803)	2.00748
804)	2.07911
805)	2.00182
806)	2.03135
807)	1.98674
808)	2.00811
809)	1.98109
810)	1.98674
811)	1.98926
812)	1.99931
813)	1.99365
814)	2.01502
815)	1.98486
816)	1.99114
817)	2.00434
818)	2.01753
819)	1.97229
820)	1.99114
821)	1.98674
822)	1.9924
823)	2.00057
824)	2.02696
825)	1.96978
826)	1.95847
827)	2.00245
828)	2.00496
829)	2.02758
830)	1.99617
831)	1.98486
832)	1.96161
833)	1.98297
834)	2.00999
835)	2.02696
836)	2.00685
837)	1.99365
838)	1.95533
839)	1.98863
840)	1.96538
841)	1.99303
842)	1.97983
843)	2.02444
844)	2.00811
845)	1.99491
846)	1.97858
847)	1.9968
848)	2.01879
849)	1.98549
850)	2.02821
851)	1.99177
852)	2.07282
853)	2.0301
854)	1.98297
855)	1.9968
856)	1.99554
857)	1.99114
858)	2.01062
859)	2.02067
860)	2.00748
